Id,Name,Type,RA,DE,GLON,GLAT,Opt,r_Opt,Vmag,B-V,U-B,E(B-V),r_Vmag,Fx,Range,r_Fx,Porb,Porb2,Ppulse,r_Ppulse,Cat,SpType,class
122,1M 1811-171,AB,273.62958333333336,-17.15722222222222,13.5,0.1,IR star,"328,447,952",,,,5.7,167,350.0,,"1399,1448",592.8,,,241,"U,M,A,H,S,X",,lmxb
123,1A 1812-12,B,273.8,-12.083333333333334,18.1,2.3,,,,,,,,15.0,,"1399,1448",,,,,"M,A,H,B",,lmxb
124,1M 1813-140,ZB,274.0058333333333,-14.036388888888888,16.4,1.3,NP Ser,"328,447,952",17.5,1.3,1.0,2.5,"807,1131,1254",700.0,,1399,,,,,"U,M,A,H,S,Exo",,lmxb
125,SAX J1819.3-2525,T,274.8395,-25.42666666666667,6.75,-4.79,V4641 Sgr,436,8.8,,,0.24,"1224,1388",1.0,(2-12 keV),1189,,,,,"B,X",,lmxb
126,4U 1820-303,GBA,275.9191666666667,-30.36138888888889,2.8,-7.9,NGC 6624,475,,,,0.3,"674,1317",250.0,,"1366,1399",0.19,,,1213,"U,M,A,H,S,X,B,R",,lmxb
127,4U 1822-371,D,276.44500000000005,-37.10527777777778,356.9,-11.3,V691 CrA,463,15.3,0.1,-0.9,0.15,"840,841,842",10.0,,"872,1448",5.57,,,"842,1415","U,M,A,H,B",,lmxb
128,4U 1822-000,,276.34208333333333,-0.012222222222222223,29.9,5.8,star,"195,447",22.0,1.0,,1.3,"191,527",25.0,,103,,,,,"U,M,A,H,S",,lmxb
129,GS 1826-238,TB,277.3625,-23.79138888888889,9.3,-6.0,,930,19.0,0.4,-0.5,,930,30.0,,"611,793",,,,,"G,B,X",,lmxb
130,1AX 1832-330,GB,278.9333333333333,-32.981944444444444,1.5,-11.4,NGC 6652,,,,,0.1,1405,8.0,(0.5-2 keV),1052,,,,,"R,X,AS",,lmxb
131,1M 1837+049,B,279.9895833333333,5.035833333333334,36.1,4.8,MM Ser,"447,1285",,,-0.5,0.04,"1142,1285",225.0,,"1059,1399",,,,,"U,M,A,H,S",,lmxb
