Id,Name,RA,DE,B-V,Cat,class,E(B-V),Fx,GLAT,GLON,Opt,Porb,Porb2,Ppulse,Range,SpType,Type,U-B,Vmag,r_Fx,r_Opt,r_Ppulse,r_Vmag,Papers
137,4U 1908+005,287.816666666667,0.585,0.6,"U,M,A,S,X,C,G",lmxb,0.4,0.1,-4.1,35.7,V1333 Aql,19,,,,,TBA,-0.4,14.8,"103,1350","447,1283",190,"169,191,1283",
138,GRS 1915+105,288.820833333333,10.9683333333333,,"Gr,B,X,C,I,AS",lmxb,9.6,300,-0.9,45.3,,,,,,,TB,,,243,87,,87,"3, 17, 26, 45, 56, 57, 88"
139,4U 1916-053,289.7,-5.23583333333333,0.4,"U,M,A,H,S,R,AS,B,X,C",lmxb,0.7,25,-8.5,31.4,V1405 Aql,0.83,,,,,BD,-0.5,21,"1179,1399","447,1126,1397","476,1126,1412","476,1126",
140,4U 1918+146,290.070833333333,14.6941666666667,,"U,A",lmxb,,5,0.4,49.3,,,,,,,T,,,230,,,,
141,XB 1940-04,295.658333333333,-3.9,,Ha,lmxb,,50,-13.1,35.3,,,,,,,B,,,937,,,,
142,4U 1957+115,299.85,11.7083333333333,0.3,"U,M,A,H,S,X,G,Exo,AS",lmxb,0.4,30,-9.3,51.3,V1408 Aql,9.33,,,,,U,-0.6,18.7,1399,327447,1281,809,
143,GS 2000+251,300.706666666667,25.2366666666667,1.3,"G,R",lmxb,1.5,0.5,-3.1,63.4,QZ Vul,8.26,,,,,TU,0,18.9,"896,1139",120447,120173189191,"90,1301",
144,XTE J2012+381,303.1575,38.1836388888889,,"X,AS",lmxb,1.9,160,2.22,75.4,*B,,,,,,TU,,21.33,1422,597,,597,
145,GS 2023+338,306.015833333333,33.8677777777778,1.5,"G,X,K",lmxb,1,0.4,-2.2,73.2,V404 Cyg,155.4,,,,,TU,0.3,12.7,"896,1139,1234","331,1389",148,"118,172,1390",
146,XTE J2123-058,320.810583333333,-5.79802777777778,-0.02,X,lmxb,0.1,110,-29.9,58.1,,5.96,,,,,TBA,-0.88,16.8,740,1293,"595,600,1293",1290,
147,4U 2127+119,322.492916666667,12.1675,-0.1,"U,M,A,H,X",lmxb,0.06,6,-27.3,65,M15,17.1,,,,,GB,-1.2,15.8,"1366,1399",22,521604605951,"23,83,953",
148,1M 2129+470,322.859166666667,47.29,0.65,"U,M,A,H,R",lmxb,0.5,9,-3,91.6,V1727 Cyg,5.24,,,,,B,-0.3,16.4,1399,"447,1284",864865,"864,1284",
149,1M 2142+380,326.171666666667,38.3216666666667,0.5,"U,M,A,H,X,B,G",lmxb,0.45,450,-11.3,87.3,V1341 Cyg,236.2,,,,,ZB,-0.2,14.7,1399,418447,249,199783866,5
150,GT 2318+620,350.142083333333,62.2925,,"U,A",lmxb,0.3,2.4,1.3,112.6,,,,,,,,,,384,,,1273,
151,RX J0032.9-7348,8.23375,-73.8052777777778,,R,hmxb,,0.2,-43.2,304.7,*1,,,,,Be,,,15.3,354,657,,354,
152,AX J0049-732,12.3733333333333,-73.1822222222222,,As,hmxb,,0.04,-43.9,303.1,,,,9.1321,,,P,,,327,,327,,
153,AX J0049-729,12.2604166666667,-72.8477777777778,,"AS, R, X",hmxb,,0.5,-44.3,303.2,Be star,,,74.676,,Be,TP,,,354,657,132790,,
154,H 0050-727,13.0254166666667,-72.435,-0.3,"A,H,S,X",hmxb,0.03,1,-44.7,302.9,*4,,,,,O9 III-Ve,T,-1,14,95,95,,"7, 146",
155,RX J0050.7-7316,12.68625,-73.2680555555556,-0.03,"R,AS",hmxb,,0.16,-43.8,303,Be star,1.416,,323,(0.7-10 keV),Be,P,-0.95,15.44,788,141,104788,104141,
156,AX J0051-722,12.7325,-72.2319444444445,,"X,R,B",hmxb,,2.6,-44.9,303,Be star,120,,91.1,,Be,TP,,14.9,424,657,334461,657,
157,RX J0051.8-7231,12.9708333333333,-72.5291666666667,,"E, X,R ,B",hmxb,,0.01,-44.6,302.9,*2,,,8.9,,Be,TP,,,354,657,330,,
158,RX J0051.9-7311,12.9641666666667,-73.1772222222222,,R,hmxb,,,-43.9,302.9,B[e  star,,,,,B[e,T,,14.4,,141,,141,
159,RX J0052.1-7319,13.0579166666667,-73.3202777777778,-0.005,"E,X,R",hmxb,,0.024,-43.8,302.8,SMC SC6 99923,,,15.3,,Be,TP,,14.667,399,702,399,702332,
160,RX J0052.9-7158,13.225,-71.9688888888889,-0.07,R,hmxb,,2,-45.1,302.8,Be star,,,,(0.15-2.4 keV),Be,TU,-0.99,15.46,141,141,,141,
161,H 0053-739,13.6391666666667,-73.6844444444445,-0.3,"A,S",hmxb,0.03,1,-43.4,302.6,*5,,,,,B1.5Ve,T,-0.5,16,95,95,,506,
162,3A 0053+604,14.17625,60.7166666666667,-0.15,"U,A,H,S,AS,B",hmxb,0.05,5,-2.1,123.6,{gamma} Cas,,,,,B0.5Ve,,-1.08,1.6,63,177,,489,
